x, y
2020.109437445441, 5.508703752254398
2023.2558203612764, 5.214700111217981
2026.2653876838413, 4.843326792713714
2029.5485611443214, 4.518375139022477
2032.1477443086392, 4.05415849089214
2034.8837180176017, 3.5589938301069854
2039.6716876636772, 2.9555121875375474
2044.4596447854397, 2.444873874594178
2049.2476019072024, 2.027078891276875
2055.677158283518, 1.5473885909883243
2059.917915653763, 1.2379105894553029
2070.0410421731185, 0.8355899666346059
2077.9753696864036, 0.6499033073824708
2084.4049260627194, 0.588007282072832
2064.432279161923, 1.0676982906997738
2093.0232563964796, 0.5415856172597993
2100.136790544645, 0.44874228763373103